spring_k_f,spring_k_r,arb_k_f,arb_k_r,lap_time
85233.06493097934,22810.75032789058,23823.374012634456,10549.58582732928,9.742235077599535
111923.35879613491,53592.55306046043,13210.880931224396,13841.384450380734,9.696581962306794
117076.98597103168,61220.45684253267,19498.902831556046,4629.148342004939,9.705862436123677
64518.78661372044,75009.86906807922,10652.72910786862,10828.473171775648,9.639643876411432
113008.9976505489,30871.570231044796,7364.500819205392,10370.947803996123,9.733545559338577
58414.71551058025,23665.398448778546,22519.97978426071,4041.4421946612274,9.733610573797991
118507.0345988025,78667.9733901418,20467.03442963831,14200.942319288823,9.678697859890024
78812.07395331777,59004.62657557051,20956.765763176812,12169.968487692156,9.673349024646505
48900.0065848259,24996.052141606087,12731.419533770368,7496.92897797857,9.698412130711828
114889.06274898833,49853.09007745492,11852.168974575761,1990.1269907854758,9.719405742970809
98408.83320837046,32476.527199341785,7980.947677416003,12818.638554576613,9.716138694822378
74177.8153159449,73459.38206390428,3461.294749917017,4063.3062682036925,9.64970468748965
77585.21170911953,20188.18929760798,8392.695229152921,7041.8038281664085,9.739607207220857
77729.877748533,37186.02254110649,21183.941897587258,11485.090758895825,9.704169494935654
53704.2274126094,67159.73852236802,11842.655443526506,7857.409863716902,9.639481323303182
75351.2408906499,38942.56240861255,3449.324981259051,2286.4027993412737,9.69904946022573
95729.08504025424,50591.117813261415,19739.796666366994,14257.827383896223,9.693132185838952
84931.35487645766,67028.70249099183,4222.082830555213,14523.897643244287,9.656672709198881
60458.662131542376,35810.31690466433,7861.451962367529,495.22949491891245,9.697751086761327
98290.06997969799,33234.03273134844,2521.8609477090763,1868.6391306573178,9.732282868058977
93463.22922458174,50684.708255707534,16078.885259103557,3750.0942472449924,9.703348307771936
52681.45517719553,79577.61741466062,28779.476808295556,7231.884605278273,9.644728117658877
59600.96798509483,26989.735696963802,27210.71807393799,5595.572318030865,9.726338724812349
66433.88049588578,66350.92502116089,5529.844963003041,4172.596615260065,9.651167840253935
55573.13333246089,40939.40628869337,23097.349682850014,3941.0040062624876,9.691823601208156
48546.18389401928,42397.01226128633,3236.9427342742083,6678.059304536657,9.653821445760256
86899.21475137003,52537.743008916514,29507.31886873323,7357.725240092026,9.700444436523496
62305.961153247736,22602.397180844997,20713.640277836555,11210.284345853619,9.71975686921411
114103.0728202328,55522.77656175087,2601.984118648576,14152.546253136388,9.688032915213608
47503.451175349335,53203.2522958494,14526.683765387488,7584.426422603189,9.651169200382363
50286.70122669995,55831.553181675685,28981.203836228797,916.2131917968215,9.673064237765706
40224.64549656632,26757.122807423984,14100.794737659746,7524.405189226573,9.683428579392004
78474.14462275285,32029.23380923423,6781.861524565599,1636.1115491284825,9.722265304059897
113375.13170650498,42769.431752805634,4702.061681015401,10053.348792885914,9.712067437643157
119794.90717427996,23470.10825213967,20694.623587287275,5103.016910825308,9.770464985529092
45958.79892634794,49687.676272008546,2363.090008274259,820.0852174561213,9.646188933197514
86217.95286303529,41445.173659622866,1453.1145076457126,4571.177963806884,9.698783562279557
95155.35985270032,64284.64868660302,26690.92073237602,14347.635770579256,9.681574049686255
102317.1917833901,38809.37852936491,9540.881133423285,6193.754277519814,9.720752211257741
83199.33571693007,39466.37888870039,9920.585315438868,5474.907520311606,9.705781296378705
63396.73305767485,75653.14939804784,23650.035875848404,10692.650473489015,9.65021786858233
115287.76754498937,51547.63888813551,13910.947718487712,11750.813216927421,9.704529822334365
62703.00685878866,75956.04097983468,947.511246351178,7932.881034340242,9.648520471215978
110267.70570317806,50020.884614723254,1642.7146065229565,13990.442279607032,9.691604263367118
42515.37678336129,22354.863796532758,8242.893896999178,1789.63459712711,9.70698530142438
80432.47072258772,54497.222065453665,13621.751703778298,6447.6537365323775,9.681237228806257
56355.748212975115,43213.95521401151,1313.7541636891372,3707.3090962176993,9.66281824269666
87363.92184689356,53645.169400073064,16049.288791063222,5860.997290549322,9.691104739259877
78152.35236542921,31951.176954168513,19834.05939177971,3385.838134365706,9.72952053887202
106298.29460649834,54524.3618957292,24531.831385455203,13679.743165925001,9.699351397810334
119206.14018655295,25291.539176408238,1678.026098126983,11076.120066162866,9.743484198770094
66080.31459110341,69619.77982434121,6117.546645716189,6493.948042965808,9.645539545820176
109472.94574625457,33176.567482075894,10495.524784485046,724.0141008444615,9.748114587926057
111592.38634087301,59550.35367272547,24191.22250187237,396.8931573237309,9.71315573385568
